,store_clus,logistic_qty,disc,yr_wk_num,intcp,prod_lvl_3_cd,discflag
1366768,3,1.994492023,0,201705,1,668,1
1366803,3,-0.253614663,0,201704,1,668,1
1366811,1,-1.562146982,0,201704,1,668,1
1366847,1,2.995732274,0,201706,1,668,1
1366859,1,2.995732274,0,201704,1,668,1
1366870,1,-1.562146982,0,201706,1,668,1
1366956,1,-0.289688123,0,201706,1,668,1
1366964,1,1.783759299,0,201705,1,668,1
1366965,1,-0.289688123,0,201704,1,668,1
1367023,1,-0.894369453,0,201706,1,668,1
1367037,1,-0.929276761,0,201706,1,668,1
1367088,1,-0.894369453,0,201704,1,668,1
1367135,3,1.539603998,0,201705,1,668,1
1367140,3,-0.2801897,0,201706,1,668,1
1367144,3,2.995732274,0,201706,1,668,1
1367223,2,0.237719813,0,201705,1,668,1
1367233,2,-0.273684634,0,201705,1,668,1
1367327,3,-0.244787696,0,201705,1,668,1
1367341,3,-0.883732364,0,201706,1,668,1
1367354,3,2.995732274,0,201704,1,668,1
1367412,5,-0.253614663,0,201704,1,668,1
1367413,5,-0.253614663,0,201706,1,668,1
1367589,1,-1.317486143,0,201704,1,668,1
1367619,1,-1.558218312,0,201704,1,668,1
1367625,1,-1.317486143,0,201706,1,668,1
1367810,3,-0.263526162,0,201704,1,668,1
1367871,1,-0.98417949,0,201704,1,668,1
1367935,1,-1.296887284,0,201706,1,668,1
1367963,1,-0.293836862,0,201706,1,668,1
1368050,3,-0.329318875,0,201706,1,668,1
1368114,2,-0.899603044,0,201704,1,668,1
1368139,1,-0.285683467,0,201704,1,668,1
1368142,3,-0.329318875,0,201704,1,668,1
1368163,3,1.634701804,0,201705,1,668,1
1368240,3,2.995732274,0,201704,1,668,1
1368241,3,-0.217154151,0,201704,1,668,1
1368242,3,-0.217154151,0,201705,1,668,1
1368253,1,-0.284386503,0,201705,1,668,1
1368257,2,-0.338166449,0,201706,1,668,1
1368289,2,1.692964955,0,201704,1,668,1
1368397,2,0.307252956,0,201706,1,668,1
1368488,2,-0.320607391,0,201705,1,668,1
1368494,2,2.995732274,0,201705,1,668,1
1368514,4,-1.296918007,0,201704,1,668,1
1368545,3,-1.321610639,0,201705,1,668,1
1368582,1,2.995732274,0,201704,1,668,1
1368615,4,-1.296918007,0,201706,1,668,1
1368642,2,2.995732274,0,201706,1,668,1
1368697,1,-1.306886034,0,201705,1,668,1
1368731,1,-1.291069672,0,201704,1,668,1
1368773,1,-1.319870854,0,201706,1,668,1
1368848,2,-0.366256997,0,201705,1,668,1
1368875,1,2.995732274,0,201706,1,668,1
1368877,4,-0.216969203,0,201704,1,668,1
1368902,2,-0.929599206,0,201705,1,668,1
1368905,2,-0.328763653,0.437,201705,1,668,1
1369007,2,-0.244787696,0,201705,1,668,1
1369020,2,2.995732274,0,201704,1,668,1
1369071,2,-0.92885528,0,201705,1,668,1
1369104,2,-0.361136163,0,201704,1,668,1
1369159,1,-0.88046911,0,201704,1,668,1
1369194,2,2.995732274,0,201706,1,668,1
1369241,1,-0.91262144,0,201705,1,668,1
1369246,2,-0.229681246,0,201705,1,668,1
1369258,2,-0.179079754,0,201704,1,668,1
1369295,1,2.995732274,0,201705,1,668,1
1369299,2,2.995732274,0,201704,1,668,1
1369319,1,-0.317846811,0,201706,1,668,1
1369334,1,2.995732274,0,201704,1,668,1
1369337,2,-0.26834137,0,201704,1,668,1
1369342,1,-0.926235313,0,201704,1,668,1
1369356,2,-0.903489392,0,201706,1,668,1
1369360,1,-0.247099077,0,201706,1,668,1
1369440,1,-0.926235313,0,201705,1,668,1
1369451,3,-0.322585905,0,201704,1,668,1
1369514,2,0.2682478,0,201706,1,668,1
1369515,2,-0.981538223,0,201706,1,668,1
1369528,2,0.309109596,0,201704,1,668,1
1369578,1,0.29380506,0,201706,1,668,1
1369604,2,1.386294361,0,201704,1,668,1
1369619,3,-0.405465108,0,201704,1,668,1
1369635,1,-0.193262087,0,201706,1,668,1
1369643,1,-0.29591079,0,201706,1,668,1
1369663,1,-0.91262144,0,201704,1,668,1
1369679,1,-0.937556201,0,201704,1,668,1
1369718,1,2.995732274,0,201705,1,668,1
1369752,2,-0.29591079,0,201705,1,668,1
1369798,1,-0.910085026,0,201704,1,668,1
1369822,2,-0.302733276,0,201705,1,668,1
1369832,1,0.27680954,0,201705,1,668,1
1369858,2,-0.937556201,0.2587,201704,1,668,1
1369876,1,1.759490209,0,201706,1,668,1
1369909,1,-0.910085026,0,201705,1,668,1
1369962,3,2.995732274,0,201705,1,668,1
1370073,1,-0.93233296,0,201705,1,668,1
1370115,2,-1.252762968,0,201704,1,668,1
1370122,1,1.689684989,0,201705,1,668,1
1370149,3,-0.193262087,0,201706,1,668,1
1370162,1,-0.905534651,0,201706,1,668,1
1370196,2,-1.334240295,0,201704,1,668,1
1370204,1,-0.29591079,0,201705,1,668,1
1370206,3,2.995732274,0,201706,1,668,1
1370219,2,-0.937556201,0,201706,1,668,1
1370229,3,-0.956958425,0,201704,1,668,1
1370300,2,-0.922828426,0,201704,1,668,1
1370386,1,-0.29591079,0,201704,1,668,1
1370391,2,-0.909604711,0,201706,1,668,1
1370468,2,-1.308930816,0,201706,1,668,1
1370471,1,-0.256142723,0,201706,1,668,1
1370485,2,2.995732274,0,201705,1,668,1
1370508,1,1.460359457,0,201705,1,668,1
1370560,2,2.995732274,0,201704,1,668,1
1370609,2,-0.266301562,0,201704,1,668,1
1370610,2,-0.260887707,0,201704,1,668,1
1370620,1,-1.297489422,0,201704,1,668,1
1370658,2,0.198352949,0,201704,1,668,1
1370662,3,1.794411995,0,201705,1,668,1
1370670,1,-0.256142723,0,201705,1,668,1
1370698,2,-1.252762968,0,201705,1,668,1
1370730,2,2.995732274,0,201706,1,668,1
